Index,Script,Time
0,Host: Hi everyone! Today we’re going to talk about some of the most beautiful and breathtaking mountains in the world.,5.5
1,So let’s begin with number three.,1.5
2,[Cut to a shot of a mountain range.],0
3,Host: At number three we have Mount Kilimanjaro in Tanzania which is Africa’s highest peak standing tall at 19341 feet above sea level.,12.5
4,Climbing the Mount Kilimanjaro is one of the most amazing adventures you could ever have.,8
5,From the tropical forests surrounding the mountain to the snow-capped summit the landscape and views on this mountain are truly spectacular.,15
6,[Cut to a shot of Mount Kilimanjaro.],0
7,Host: Next we have number two the Himalayan mountain range.,6.5
8,The Himalayan range spans over 1500 miles and is home to Mount Everest the highest peak in the world.,13
9,This mountain range is considered one of the most stunning and unique landscapes in the world.,8.5
10,Its peaks are covered in snow and the valleys beneath are filled with lush vegetation pristine lakes and breathtaking waterfalls.,16
11,[Cut to a shot of the Himalayan mountain range.],0
12,Host: And finally we have number one the Andes mountain range.,7
13,The Andes are the longest mountain range in the world stretching over 4500 miles along the western edge of South America.,14.5
14,This mountain range has a rich culture and history with numerous ancient sites and traditional villages nestled in its valleys.,16
15,It also has the highest peak outside of the Himalayas.,6
16,Aconcagua located in the Andes in Argentina is the highest peak in the western hemisphere.,11
17,[Cut to a shot of the Andes mountain range.],0
18,Host: Well that’s it for today's video.,4
19,Which one is your favorite? Let us know in the comments below!,7.5
20,And don't forget to hit the like button and subscribe to our channel for more amazing travel content.,12.5
21,See you in the next video!,5
